BA,County_FIPS,Year,Sector,DPV_sectoral_Capacity_MW,Generation_MWh,Energy_Value_MWh,Cap_Value_MWh,Cap_Value_kW_yr,Total_Value_MWh,Value_Factor
AZPS,4003,2012,DPV_non_res,0.64,1132.47,19.86,14.40,25.32,34.25,1.03
AZPS,4003,2012,DPV_res,0.23,385.92,19.70,14.40,24.36,34.09,1.02
AZPS,4003,2013,DPV_non_res,0.96,1797.14,36.71,11.56,21.74,48.27,1.05
AZPS,4003,2013,DPV_res,0.38,680.81,36.74,11.56,20.67,48.30,1.05
AZPS,4003,2014,DPV_non_res,1.26,2364.70,35.96,8.52,15.97,44.47,0.91
AZPS,4003,2014,DPV_res,0.55,967.89,35.88,8.52,14.87,44.40,0.91
AZPS,4003,2015,DPV_non_res,1.32,2586.38,24.49,8.62,16.92,33.11,0.89
AZPS,4003,2015,DPV_res,0.74,1304.15,24.72,8.62,15.24,33.34,0.90
AZPS,4003,2016,DPV_non_res,1.27,2844.14,19.14,1.92,4.30,21.06,0.75
AZPS,4003,2016,DPV_res,1.03,1933.46,19.25,1.92,3.60,21.17,0.75
AZPS,4003,2017,DPV_non_res,1.34,2744.08,17.75,1.65,3.38,19.40,0.67
AZPS,4003,2017,DPV_res,1.30,2432.22,18.14,1.65,3.09,19.79,0.68
AZPS,4003,2018,DPV_non_res,1.54,3360.89,24.63,2.20,4.79,26.82,0.70
AZPS,4003,2018,DPV_res,1.60,3097.42,24.70,2.20,4.24,26.90,0.71
AZPS,4003,2019,DPV_non_res,1.72,3318.95,20.52,4.45,8.60,24.97,0.65
AZPS,4003,2019,DPV_res,1.86,3527.74,20.50,4.45,8.44,24.94,0.65
AZPS,4007,2012,DPV_non_res,0.63,1055.76,18.91,15.43,25.91,34.34,1.03
AZPS,4007,2012,DPV_res,0.24,384.85,18.74,15.43,24.95,34.17,1.02
AZPS,4007,2013,DPV_non_res,0.93,1660.47,37.38,12.47,22.21,49.85,1.08
AZPS,4007,2013,DPV_res,0.40,672.71,37.41,12.47,21.11,49.88,1.08
AZPS,4007,2014,DPV_non_res,1.23,2239.45,36.72,9.17,16.69,45.89,0.94
AZPS,4007,2014,DPV_res,0.58,980.87,36.70,9.17,15.55,45.87,0.94
AZPS,4007,2015,DPV_non_res,1.29,2426.64,24.87,9.31,17.57,34.18,0.92
AZPS,4007,2015,DPV_res,0.77,1308.30,25.13,9.31,15.83,34.45,0.93
AZPS,4007,2016,DPV_non_res,1.24,2665.90,18.91,2.17,4.66,21.08,0.75
AZPS,4007,2016,DPV_res,1.08,1938.59,19.08,2.17,3.91,21.25,0.76
AZPS,4007,2017,DPV_non_res,1.31,2579.45,32.76,1.87,3.70,34.64,1.19
AZPS,4007,2017,DPV_res,1.36,2449.63,32.68,1.87,3.39,34.55,1.19
AZPS,4007,2018,DPV_non_res,1.50,3069.00,26.67,2.66,5.43,29.33,0.77
AZPS,4007,2018,DPV_res,1.67,3022.99,26.76,2.66,4.80,29.42,0.77
AZPS,4007,2019,DPV_non_res,1.67,3093.24,26.65,4.87,9.00,31.52,0.82
AZPS,4007,2019,DPV_res,1.94,3515.54,26.67,4.87,8.82,31.55,0.82
AZPS,4012,2012,DPV_non_res,0.29,472.69,19.88,18.28,30.13,38.15,1.14
AZPS,4012,2012,DPV_res,0.10,152.26,19.72,18.28,29.00,37.99,1.14
AZPS,4012,2013,DPV_non_res,0.43,760.75,37.04,14.44,25.82,51.48,1.12
AZPS,4012,2013,DPV_res,0.16,272.35,37.07,14.44,24.55,51.51,1.12
AZPS,4012,2014,DPV_non_res,0.56,1009.95,35.74,10.71,19.27,46.46,0.95
AZPS,4012,2014,DPV_res,0.23,390.89,35.70,10.71,17.94,46.41,0.95
AZPS,4012,2015,DPV_non_res,0.59,1128.76,24.21,10.45,20.11,34.66,0.93
AZPS,4012,2015,DPV_res,0.31,538.09,24.43,10.45,18.12,34.89,0.94
AZPS,4012,2016,DPV_non_res,0.57,1182.13,18.63,2.53,5.29,21.17,0.75
AZPS,4012,2016,DPV_res,0.43,759.20,18.76,2.53,4.43,21.29,0.76
AZPS,4012,2017,DPV_non_res,0.60,1160.21,19.40,2.18,4.25,21.58,0.74
AZPS,4012,2017,DPV_res,0.55,972.81,19.84,2.18,3.89,22.03,0.76
AZPS,4012,2018,DPV_non_res,0.69,1442.14,25.64,3.10,6.53,28.74,0.75
AZPS,4012,2018,DPV_res,0.67,1255.59,25.69,3.10,5.77,28.80,0.76
AZPS,4012,2019,DPV_non_res,0.76,1471.63,21.74,5.81,11.19,27.55,0.72
AZPS,4012,2019,DPV_res,0.78,1477.95,21.72,5.81,10.97,27.53,0.72
AZPS,4013,2012,DPV_non_res,69.79,120243.63,19.59,17.37,29.92,36.96,1.11
AZPS,4013,2012,DPV_res,54.14,89804.22,19.43,17.37,28.81,36.80,1.10
AZPS,4013,2013,DPV_non_res,103.54,189006.40,37.20,14.05,25.65,51.25,1.11
AZPS,4013,2013,DPV_res,90.39,156897.81,37.22,14.05,24.39,51.28,1.11
AZPS,4013,2014,DPV_non_res,136.67,254977.92,36.36,10.40,19.41,46.76,0.96
AZPS,4013,2014,DPV_res,131.67,228734.49,36.30,10.40,18.07,46.71,0.96
AZPS,4013,2015,DPV_non_res,142.81,276833.34,24.91,10.41,20.18,35.32,0.95
AZPS,4013,2015,DPV_res,175.12,305998.29,25.15,10.41,18.19,35.56,0.96
AZPS,4013,2016,DPV_non_res,137.92,302532.72,19.29,2.42,5.32,21.71,0.77
AZPS,4013,2016,DPV_res,244.90,450925.35,19.43,2.42,4.46,21.85,0.78
AZPS,4013,2017,DPV_non_res,144.94,290324.70,19.27,2.10,4.20,21.37,0.73
AZPS,4013,2017,DPV_res,308.26,564631.55,19.70,2.10,3.84,21.80,0.75
AZPS,4013,2018,DPV_non_res,166.90,349426.90,25.16,3.02,6.32,28.18,0.74
AZPS,4013,2018,DPV_res,380.69,705352.20,25.21,3.02,5.60,28.23,0.74
AZPS,4013,2019,DPV_non_res,185.98,357357.32,21.74,5.60,10.77,27.35,0.71
AZPS,4013,2019,DPV_res,441.57,832074.47,21.73,5.60,10.56,27.33,0.71
AZPS,4019,2012,DPV_non_res,12.55,21401.68,19.56,13.57,23.14,33.13,0.99
AZPS,4019,2012,DPV_res,12.80,21009.01,19.40,13.57,22.28,32.97,0.99
AZPS,4019,2013,DPV_non_res,18.62,33791.93,36.64,10.93,19.84,47.57,1.03
AZPS,4019,2013,DPV_res,21.36,36866.57,36.66,10.93,18.86,47.59,1.03
AZPS,4019,2014,DPV_non_res,24.57,44964.30,36.02,8.19,14.99,44.21,0.91
AZPS,4019,2014,DPV_res,31.12,53039.11,35.96,8.19,13.96,44.15,0.90
AZPS,4019,2015,DPV_non_res,25.68,49521.12,24.62,8.10,15.63,32.73,0.88
AZPS,4019,2015,DPV_res,41.39,71928.44,24.85,8.10,14.08,32.95,0.89
AZPS,4019,2016,DPV_non_res,24.80,54399.70,18.99,1.93,4.24,20.92,0.75
AZPS,4019,2016,DPV_res,57.88,106559.61,19.09,1.93,3.56,21.03,0.75
AZPS,4019,2017,DPV_non_res,26.06,52611.16,19.01,1.76,3.55,20.77,0.71
AZPS,4019,2017,DPV_res,72.86,134334.68,19.40,1.76,3.24,21.16,0.73
AZPS,4019,2018,DPV_non_res,30.01,63971.17,24.96,2.57,5.48,27.53,0.72
AZPS,4019,2018,DPV_res,89.98,169802.74,25.03,2.57,4.85,27.60,0.72
AZPS,4019,2019,DPV_non_res,33.44,65452.94,20.76,4.83,9.46,25.59,0.67
AZPS,4019,2019,DPV_res,104.36,200358.80,20.74,4.83,9.28,25.57,0.67
AZPS,4021,2012,DPV_non_res,3.61,6195.25,19.45,16.76,28.74,36.20,1.09
AZPS,4021,2012,DPV_res,3.96,6541.97,19.28,16.76,27.66,36.04,1.08
AZPS,4021,2013,DPV_non_res,5.36,9713.58,37.22,13.59,24.63,50.80,1.10
AZPS,4021,2013,DPV_res,6.61,11399.51,37.25,13.59,23.42,50.83,1.10
AZPS,4021,2014,DPV_non_res,7.07,13053.94,36.20,9.99,18.43,46.19,0.95
AZPS,4021,2014,DPV_res,9.64,16561.87,36.15,9.99,17.16,46.14,0.95
AZPS,4021,2015,DPV_non_res,7.39,14238.83,25.21,9.62,18.53,34.83,0.94
AZPS,4021,2015,DPV_res,12.82,22249.91,25.45,9.62,16.70,35.06,0.94
AZPS,4021,2016,DPV_non_res,7.14,15651.58,19.24,2.19,4.81,21.43,0.76
AZPS,4021,2016,DPV_res,17.92,32984.25,19.36,2.19,4.04,21.55,0.77
AZPS,4021,2017,DPV_non_res,7.50,15088.58,18.89,1.92,3.85,20.81,0.71
AZPS,4021,2017,DPV_res,22.56,41479.59,19.31,1.92,3.52,21.23,0.73
AZPS,4021,2018,DPV_non_res,8.64,18136.34,24.59,2.87,6.02,27.46,0.72
AZPS,4021,2018,DPV_res,27.86,51764.46,24.65,2.87,5.33,27.52,0.72
AZPS,4021,2019,DPV_non_res,9.63,18508.66,20.83,5.34,10.27,26.18,0.68
AZPS,4021,2019,DPV_res,32.32,60935.56,20.81,5.34,10.07,26.15,0.68
AZPS,4025,2012,DPV_non_res,3.55,5969.15,20.11,15.37,25.88,35.49,1.06
AZPS,4025,2012,DPV_res,4.06,6569.88,19.95,15.37,24.90,35.33,1.06
AZPS,4025,2013,DPV_non_res,5.26,9386.49,36.82,12.46,22.22,49.28,1.07
AZPS,4025,2013,DPV_res,6.77,11485.06,36.84,12.46,21.12,49.30,1.07
AZPS,4025,2014,DPV_non_res,6.95,12629.46,36.51,7.91,14.39,44.42,0.91
AZPS,4025,2014,DPV_res,9.87,16706.15,36.49,7.91,13.40,44.40,0.91
AZPS,4025,2015,DPV_non_res,7.26,13778.77,24.61,7.90,15.01,32.52,0.87
AZPS,4025,2015,DPV_res,13.12,22446.14,24.86,7.90,13.52,32.76,0.88
AZPS,4025,2016,DPV_non_res,7.01,15001.27,18.52,1.79,3.82,20.31,0.72
AZPS,4025,2016,DPV_res,18.35,32938.42,18.69,1.79,3.21,20.47,0.73
AZPS,4025,2017,DPV_non_res,7.37,14683.98,17.85,1.60,3.20,19.45,0.67
AZPS,4025,2017,DPV_res,23.10,42145.58,18.26,1.60,2.93,19.86,0.68
AZPS,4025,2018,DPV_non_res,8.48,17817.24,23.63,2.33,4.90,25.96,0.68
AZPS,4025,2018,DPV_res,28.53,53016.75,23.69,2.33,4.34,26.02,0.68
AZPS,4025,2019,DPV_non_res,9.45,18274.11,20.87,4.27,8.26,25.14,0.66
AZPS,4025,2019,DPV_res,33.09,62741.43,20.85,4.27,8.10,25.12,0.66
AZPS,4027,2012,DPV_non_res,5.16,8667.96,20.17,18.50,31.10,38.67,1.16
